vendor_name,trip_date,trip_hour,total_revenue
"Curb Mobility, LCC",2025-05-23,0,81620.76999999999
"Creative Mobile Technologies, LLC",2025-05-21,0,10388.95
"Curb Mobility, LCC",2025-03-03,0,34848.36
Helix,2025-02-23,0,105.6
Helix,2025-03-25,0,341.80999999999995
"Curb Mobility, LCC",2025-03-04,0,30623.369999999995
"Creative Mobile Technologies, LLC",2025-06-19,0,17829.489999999998
"Creative Mobile Technologies, LLC",2025-03-27,0,9631.35
"Creative Mobile Technologies, LLC",2025-03-17,0,10746.399999999998
"Curb Mobility, LCC",2025-06-07,0,100391.84000000003
Helix,2025-02-24,0,100.13
Helix,2025-05-22,0,1764.6299999999997
"Curb Mobility, LCC",2025-02-08,0,91159.02
Helix,2025-03-13,0,512.6500000000001
"Creative Mobile Technologies, LLC",2025-03-14,0,15473.47
Helix,2025-02-16,0,137.55
"Curb Mobility, LCC",2025-06-23,0,68529.43999999999
"Curb Mobility, LCC",2025-04-27,0,111192.95
"Curb Mobility, LCC",2025-01-26,0,89431.09000000001
"Creative Mobile Technologies, LLC",2025-01-30,0,7526.7
"Creative Mobile Technologies, LLC",2025-02-15,0,22071.410000000003
Helix,2025-06-04,0,1310.41
Helix,2025-04-13,0,964.6999999999999
"Creative Mobile Technologies, LLC",2025-04-23,0,7403.620000000002
"Curb Mobility, LCC",2025-01-15,0,22448.51
"Curb Mobility, LCC",2025-05-25,0,68209.10999999999
"Creative Mobile Technologies, LLC",2025-03-13,0,8611.53
"Curb Mobility, LCC",2025-06-14,0,102816.76999999995
Helix,2025-02-14,0,45.81
"Curb Mobility, LCC",2025-05-01,0,52371.899999999994
Helix,2025-05-11,0,2421.85
"Creative Mobile Technologies, LLC",2025-02-08,0,27700.450000000008
Helix,2025-05-26,0,1997.63
"Creative Mobile Technologies, LLC",2025-05-24,0,17289.59
Helix,2025-04-19,0,950.8800000000001
"Curb Mobility, LCC",2025-02-26,0,23565.370000000006
Helix,2025-05-31,0,3071.66
"Creative Mobile Technologies, LLC",2025-05-11,0,28092.579999999994
"Curb Mobility, LCC",2025-04-29,0,36206.700000000004
"Curb Mobility, LCC",2025-04-05,0,101182.43999999997
"Curb Mobility, LCC",2025-02-06,0,32686.469999999998
Helix,2025-06-23,0,1849.2199999999998
"Curb Mobility, LCC",2025-04-15,0,29891.28
Helix,2025-03-30,0,1607.79
Helix,2025-03-19,0,226.85000000000002
Helix,2025-06-01,0,4161.07
Helix,2025-02-08,0,120.96000000000001
"Creative Mobile Technologies, LLC",2025-02-10,0,5112.78
"Curb Mobility, LCC",2025-02-25,0,29383.400000000005
"Creative Mobile Technologies, LLC",2025-01-06,0,9301.799999999997
Helix,2025-03-29,0,1169.16
"Creative Mobile Technologies, LLC",2025-06-23,0,12996.070000000002
Helix,2025-04-01,0,273.04
"Creative Mobile Technologies, LLC",2025-06-06,0,19680.920000000002
"Creative Mobile Technologies, LLC",2025-06-29,0,25569.61
"Curb Mobility, LCC",2025-03-10,0,41513.66
"Creative Mobile Technologies, LLC",2025-05-31,0,24738.839999999997
"Curb Mobility, LCC",2025-04-17,0,48438.55000000001
